"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Demonstrativo de Resultado - PETROBRAS - Trimestres Isolados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023,31/12/2023,31/03/2024
Resultado da Equivalência Patrimonial,372.918,309.558,-395.901,-179.281,-230.444,229.280,388.831,276.811,165.730,-471.844,415.171,136.319,-425.980,191.471,182.232,156.167,389.620,493.439,55.758,521.698,271.000,198.000,-539.698,173.000,169.000,200.000,-1.339.000,388.000,398.000,-140.000,-1.275.000,612.000,615.000,438.000,484.000,511.000,310.000,975.000,123.000,496.000,470.000,446.000,-865.000,-1.439.000,-1.089.000,-917.000,173.000,1.019.000,5.305.000,1.520.000,583.000,1.816.000,-54.000,171.000,-642.000,181.000,-106.000,-1.212.000,-343.000,-457.000
Financeiras,-711.154,-517.517,-686.747,-124.488,106.964,44.542,2.535.811,2.022.212,2.895.350,-5.284.534,489.192,464.993,-6.406.934,-569.439,2.788.820,1.389.774,-3.550.695,-1.020.599,-3.020.665,-173.131,-940.000,-972.000,-1.814.869,-5.621.000,-6.048.000,-11.444.000,-4.928.001,-8.693.000,-6.061.000,-7.122.000,-5.309.000,-7.755.000,-8.835.000,-7.411.000,-7.598.000,-7.246.000,-2.647.000,-5.841.000,-5.365.999,-8.147.000,-8.576.000,-10.874.000,-6.862.001,-21.177.999,-12.308.000,-22.909.999,6.811.997,-30.748.000,10.776.001,-25.479.999,-13.804.001,2.983.000,-15.757.000,-7.973.000,1.490.000,-3.200.000,-269.000,-9.760.000,1.368.000,-9.579.000
Receitas Financeiras,900.079,911.796,909.543,759.818,922.498,981.589,3.210.250,2.740.046,3.231.919,1.853.010,-1.282.338,1.329.634,1.638.036,981.206,3.292.281,2.588.329,909.124,1.205.331,-791.983,1.674.601,1.303.000,1.310.000,1.067.399,734.000,615.000,1.866.000,1.652.000,886.000,764.000,1.191.000,797.000,933.000,1.051.000,741.000,612.000,1.101.000,4.596.000,2.254.000,3.696.000,1.366.000,1.303.000,1.344.000,1.258.000,798.000,579.000,667.000,777.000,676.000,1.109.000,1.188.000,1.485.000,1.360.000,3.054.000,2.713.000,2.293.000,2.419.000,2.553.000,2.934.000,2.915.000,2.736.000
Despesas Financeiras,-1.611.233,-1.429.313,-1.596.290,-884.306,-815.534,-937.047,-674.439,-717.834,-336.569,-7.137.544,1.771.530,-864.641,-8.044.970,-1.550.645,-503.461,-1.198.555,-4.459.819,-2.225.930,-2.228.682,-1.847.732,-2.243.000,-2.282.000,-2.882.268,-6.355.000,-6.663.000,-13.310.000,-6.579.999,-9.579.000,-6.825.000,-8.313.000,-6.106.000,-8.688.000,-9.886.000,-8.152.000,-8.210.000,-8.347.000,-7.243.000,-8.095.000,-9.062.001,-9.513.000,-9.879.000,-12.218.000,-8.119.999,-21.976.001,-12.887.000,-23.577.000,6.035.002,-31.424.000,9.667.000,-26.667.999,-15.289.002,1.623.000,-18.811.001,-10.686.000,-802.998,-5.619.000,-2.822.000,-12.694.000,-1.547.000,-12.315.000
Resultado Não Operacional,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receitas,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado Antes Tributação/Participações,11.807.475,11.263.481,11.135.240,10.736.777,11.441.831,12.870.908,13.087.901,14.834.890,15.108.876,6.565.847,7.841.326,12.372.073,-1.551.016,8.223.247,8.709.167,11.395.677,7.945.381,4.966.933,3.846.285,7.588.564,7.867.000,-5.822.000,-35.449.565,7.551.000,3.581.000,-5.199.000,-47.161.999,-157.000,1.521.000,-17.294.000,5.227.001,7.127.000,6.770.000,805.000,-8.528.000,11.079.999,14.329.000,12.153.000,6.214.001,6.368.000,30.660.999,3.429.000,6.783.999,-66.617.999,-3.288.000,-4.878.000,74.821.001,3.156.000,62.956.999,40.976.998,44.485.005,68.381.000,80.677.003,66.639.000,59.300.999,56.996.999,41.701.999,37.786.001,40.995.992,34.447.999
Provisão para IR e Contribuição Social,-3.852.421,-2.354.096,-575.861,-3.386.217,-1.563.613,-963.723,-528.416,-1.267.240,-1.947.379,-2.217.823,347.986,-613.273,-856.671,-801.554,-266.358,-1.438.869,793.975,590.805,-4.770.549,-1.120.422,-1.063.000,-225.000,-1.724.578,-979.000,-905.000,-814.000,-155.000,-1.637.000,-1.911.000,-1.009.000,-1.065.000,-826.000,-2.573.000,-853.000,-93.000,-3.321.000,-4.108.000,-4.853.000,-2.009.000,-2.644.000,-6.453.000,758.000,2.975.001,-597.000,-610.000,-26.000,-1.498.000,-649.000,-520.000,-9.133.000,-12.365.000,-13.463.000,-26.057.001,-19.181.001,-22.774.002,-15.192.001,-8.763.000,-12.531.000,-11.286.999,-12.295.000
IR Diferido,1.656.294,-679.049,-1.329.499,446.287,-1.541.420,-2.775.496,-1.923.374,-2.373.476,-1.750.392,925.492,-2.958.496,-2.331.121,536.997,-1.786.308,-675.821,-2.121.593,-3.060.444,-2.015.577,6.874.862,-682.402,-1.613.000,108.000,10.212.402,-2.044.000,-1.768.000,988.000,11.734.999,1.413.000,1.289.000,1.980.000,-1.402.000,-1.494.000,-3.905.000,698.000,3.249.000,-634.000,-530.000,-396.000,-1.227.000,516.000,-5.158.000,-4.696.000,-1.698.000,17.490.999,1.085.000,3.235.000,-12.870.999,-1.231.000,-19.396.000,-620.000,-396.999,-10.135.000,-136.000,-1.222.000,6.975.000,-3.498.000,-4.003.000,1.505.000,1.454.000,1.657.000
Participações/Contribuições Estatutárias,0,0,-1.495.323,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reversão dos Juros sobre Capital Próprio,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part. de Acionistas Não Controladores,-1.876.852,-927.768,394.315,-70.573,-41.808,-565.237,-34.461,-209.210,-468.168,1.062.403,-181.540,-213.458,524.963,-69.029,-19.396,-142.038,522.078,-147.489,330.931,-392.880,-232.000,600.000,361.880,802.000,-377.000,1.266.000,-1.356.000,-865.000,-529.000,-135.000,-250.000,-358.000,24.000,-384.000,-105.000,-164.000,381.000,-260.000,-876.000,-209.000,-486.000,247.000,-385.000,1.201.000,100.000,123.000,-562.000,-109.000,-186.000,-82.000,-219.000,-222.000,-154.000,-140.000,-161.000,-151.000,-154.000,-135.000,-120.000,-110.000
Lucro/Prejuízo do Período,7.734.496,7.302.568,8.128.872,7.726.274,8.294.990,8.566.452,10.601.650,10.984.964,10.942.937,6.335.919,5.049.275,9.214.221,-1.345.727,5.566.356,7.747.591,7.693.177,6.200.990,3.394.672,6.281.529,5.392.860,4.959.000,-5.339.000,-26.599.860,5.330.000,531.000,-3.759.000,-36.938.002,-1.246.000,370.000,-16.458.000,2.510.001,4.449.000,316.000,266.000,-5.477.000,6.961.000,10.072.001,6.644.000,2.101.999,4.031.000,18.866.000,9.087.000,8.152.999,-48.523.002,-2.713.000,-1.546.000,59.890.000,1.167.000,42.854.998,31.142.001,31.504.001,44.560.998,54.329.999,46.095.999,43.341.005,38.156.001,28.782.000,26.624.999,31.042.996,23.700.001
